date,price
3/30/13,68
3/29/13,137
3/28/13,233
3/27/13,296
3/26/13,228
3/25/13,317
3/24/13,57
3/23/13,43
3/22/13,138
3/21/13,157
3/20/13,111
3/19/13,75
3/18/13,171
3/17/13,60
3/16/13,43
3/15/13,123
3/14/13,142
